ret_yr,system,model_type,1.2,1.3,2.2,2.3,Totals
2002,Ugashik,rand_forest,762583965,867785537,1010083402,546509584,3186962489
2002,Ugashik,boost_tree,528692131,777322922,812693787,674132843,2792841682
2002,Wood,rand_forest,1773083941,1400978378,102726896,101662469,3378451684
2002,Wood,boost_tree,1632176208,1619680023,0,66892195,3318748426
2001,Egegik,rand_forest,513831219,603896547,3449394528,2022693096,6589815390
2001,Egegik,boost_tree,185047016,969711914,4084554443,1249218369,6488531742
2001,Igushik,rand_forest,114637742,465799183,26995342,27690782,635123050
2001,Igushik,boost_tree,63353586,292444363,0,26704533,382502482
2001,Kvichak,rand_forest,3366861435,983172530,2552461357,602345351,7504840674
2001,Kvichak,boost_tree,2544411316,1120317383,1148855591,777914505,5591498795
2001,Naknek,rand_forest,754868986,1205722913,347948980,797960236,3106501115
2001,Naknek,boost_tree,848195648,1277940826,222498188,663774033,3012408695
2001,Nushagak,rand_forest,135576054,868601830,50079713,29309276,1083566874
2001,Nushagak,boost_tree,168748722,690431824,63788018,2565711,925534275
2001,Ugashik,rand_forest,1295057803,1096823406,840932769,590746995,3823560972
2001,Ugashik,boost_tree,411122513,630389175,746567078,766048203,2554126968
2001,Wood,rand_forest,2055735931,1651198367,174695979,108766014,3990396290
2001,Wood,boost_tree,1980389404,899018097,142593651,112660904,3134662056
2000,Egegik,rand_forest,548296064,2661862180,3435963381,4353168061,10999289686
2000,Egegik,boost_tree,350576935,3040127869,1544188538,3339249878,8274143219
2000,Igushik,rand_forest,132260186,714836443,24643155,28039298,899779083
2000,Igushik,boost_tree,90290995,530988693,11808486,2021855,635110029
2000,Kvichak,rand_forest,1451114274,1481103442,9209060074,822662601,12963940391
2000,Kvichak,boost_tree,1113933716,1615357666,5063348389,2378797302,10171437073
2000,Naknek,rand_forest,675530658,3215177937,508179278,1038457814,5437345687
2000,Naknek,boost_tree,777481537,4299982910,561938553,1038277740,6677680740
2000,Nushagak,rand_forest,91147864,1040934807,28719605,23675045,1184477321
2000,Nushagak,boost_tree,22385039,797785492,0,12491877,832662408
2000,Ugashik,rand_forest,683350894,1736412533,978323819,829236098,4227323343
2000,Ugashik,boost_tree,95987711,2544963379,1010798035,418039970,4069789095
2000,Wood,rand_forest,1623517550,2342854063,94948121,100293421,4161613155
2000,Wood,boost_tree,2273580170,2459128418,35319695,115988178,4884016461
1999,Egegik,rand_forest,625604008,744146628,7472061276,3253561134,12095373045
1999,Egegik,boost_tree,1013025513,681925125,7469028320,2335188904,11499167862
1999,Igushik,rand_forest,201581283,602526163,55027145,33133732,892268322
1999,Igushik,boost_tree,242292881,313797073,40539999,34305754,630935707
1999,Kvichak,rand_forest,4131528116,1067043171,17071833912,838757290,23109162489
1999,Kvichak,boost_tree,3109963379,779636078,26604257812,441066742,30934924011
1999,Naknek,rand_forest,577083726,1861393414,1229547876,831750132,4499775147
1999,Naknek,boost_tree,651982422,2190424194,1550234985,191111603,4583753204
1999,Nushagak,rand_forest,129870006,786896810,38138539,14262837,969168192
1999,Nushagak,boost_tree,181401443,316176529,225371,2418179,500221522
1999,Ugashik,rand_forest,1084332935,1215083925,1936610415,1090119039,5326146313
1999,Ugashik,boost_tree,1552792511,1389057007,1587359619,1463781891,5992991028
1999,Wood,rand_forest,2116335133,2214812947,137459780,117125310,4585733170
1999,Wood,boost_tree,2476085663,2309085693,44421520,96573582,4926166458
1998,Egegik,rand_forest,684056487,411126876,4630302015,3861944367,9587429746
1998,Egegik,boost_tree,997993164,350137367,5598865356,2940935364,9887931252
1998,Igushik,rand_forest,147902505,535964119,33950719,22001583,739818926
1998,Igushik,boost_tree,133553581,411463737,10602522,0,555619841
1998,Kvichak,rand_forest,3243602100,946852175,5302629624,680910090,10173993989
1998,Kvichak,boost_tree,4676734924,953898239,3615270691,604770660,9850674515
1998,Naknek,rand_forest,723558265,1030285875,709509117,1005771264,3469124522
1998,Naknek,boost_tree,686074448,349422493,719486847,1100752258,2855736046
1998,Nushagak,rand_forest,117269504,740696219,114587783,26831778,999385283
1998,Nushagak,boost_tree,45991654,509083328,32423398,14512351,602010732
1998,Ugashik,rand_forest,982420195,790516231,1569808849,1337852815,4680598090
1998,Ugashik,boost_tree,1211272964,435540466,1587265930,705339127,3939418488
1998,Wood,rand_forest,1764261396,1754154280,70195766,89478324,3678089766
1998,Wood,boost_tree,1703991394,1357241364,106099024,0,3167331781
1997,Egegik,rand_forest,644338007,749423565,6645494459,3287759919,11327015950
1997,Egegik,boost_tree,437944603,1281978455,4505075684,4754948730,10979947472
1997,Igushik,rand_forest,164657881,522286584,54063050,30062055,771069570
1997,Igushik,boost_tree,95141640,464170380,89808331,9812266,658932616
1997,Kvichak,rand_forest,1973988157,1139689426,4501293210,975825130,8590795924
1997,Kvichak,boost_tree,2254711609,1037493439,5214242554,648366547,9154814148
1997,Naknek,rand_forest,564145090,1867347458,709555451,1077488447,4218536446
1997,Naknek,boost_tree,452801666,1172668381,908064423,1089698029,3623232498
1997,Nushagak,rand_forest,227295599,714939516,19306800,35378814,996920729
1997,Nushagak,boost_tree,234371796,482358437,0,0,716730232
1997,Ugashik,rand_forest,1034901515,1120507026,1976936160,907985038,5040329739
1997,Ugashik,boost_tree,805215149,1312913666,2374412689,1111857147,5604398651
1997,Wood,rand_forest,1616408216,1570664303,173786331,91826875,3452685725
1997,Wood,boost_tree,1880353851,1570387726,94198513,105790882,3650730972
1996,Egegik,rand_forest,851760554,2764879664,6044528778,6555383482,16216552478
1996,Egegik,boost_tree,718297119,3128034668,5483648682,7401519165,16731499634
1996,Igushik,rand_forest,146539755,644823131,40195927,41672572,873231385
1996,Igushik,boost_tree,76894722,444343224,37372346,55081391,613691683
1996,Kvichak,rand_forest,1572989619,1348566849,8655594997,2426393761,14003545226
1996,Kvichak,boost_tree,541466637,1270166702,5042994995,1768207855,8622836189
1996,Naknek,rand_forest,837733507,1877806022,965820572,1642167448,5323527548
1996,Naknek,boost_tree,487749367,1567442322,437104797,1369381561,3861678047
1996,Nushagak,rand_forest,112195069,1118958262,131082524,49586397,1411822253
1996,Nushagak,boost_tree,153256111,407020187,0,82295294,642571592
1996,Ugashik,rand_forest,757867255,1203260067,1686338440,1255825262,4903291024
1996,Ugashik,boost_tree,484428062,702641449,954492416,1520500946,3662062874
1996,Wood,rand_forest,1401586362,2011510135,118692137,161222315,3693010948
1996,Wood,boost_tree,1047657242,1920495453,67925591,64921250,3100999537
1995,Egegik,rand_forest,973358849,621748952,6952133049,5448981421,13996222272
1995,Egegik,boost_tree,1642678070,684186630,7975440674,5536913452,15839218826
1995,Igushik,rand_forest,220357308,504373350,57743306,30530269,813004233
1995,Igushik,boost_tree,230028439,477510452,56143036,21869655,785551581
1995,Kvichak,rand_forest,3962340667,960532838,12996441456,1560015690,19479330651
1995,Kvichak,boost_tree,7665296631,1127587204,14668712158,2233497620,25695093613
